Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
11.10.2018,12.10.2018,CALL,135.0,FB181012C00135000,18.35,19.2,19.5,-1.9499989,-9.6059065,101,162,1.501955615234375
11.10.2018,12.10.2018,CALL,137.0,FB181012C00137000,18.85,16.85,17.15,18.85,100.0,10,10,1.2128945605468748
11.10.2018,12.10.2018,CALL,138.0,FB181012C00138000,16.35,15.9,16.15,16.35,85.15625,24,12,1.1669963525390625
11.10.2018,12.10.2018,CALL,139.0,FB181012C00139000,13.9,14.9,15.2,13.9,81.286545,2,2,1.1201215869140624
11.10.2018,12.10.2018,CALL,140.0,FB181012C00140000,12.6,13.45,13.75,-0.39999962,-3.07692,37,213,0.8125018749999999
11.10.2018,12.10.2018,CALL,141.0,FB181012C00141000,27.0,10.8,11.15,0.0,0.0,1,1,1.0000000000000003e-05
11.10.2018,12.10.2018,CALL,142.0,FB181012C00142000,11.1,11.85,12.15,-2.6999998,0.0,1,11,0.91992267578125
11.10.2018,12.10.2018,CALL,143.0,FB181012C00143000,10.5,11.05,11.35,-2.0,-16.0,4,28,0.93945373046875
11.10.2018,12.10.2018,CALL,144.0,FB181012C00144000,8.5,10.25,10.55,-5.8999996,-40.97222,50,17,0.9467778759765625
11.10.2018,12.10.2018,CALL,145.0,FB181012C00145000,7.86,8.7,9.05,-0.9199996,-10.478355,655,197,0.6894562304687502
11.10.2018,12.10.2018,CALL,146.0,FB181012C00146000,7.25,8.3,8.6,-5.05,-41.05691,34,29,0.8281267187499999
11.10.2018,12.10.2018,CALL,147.0,FB181012C00147000,5.9,7.25,7.55,0.4000001,7.2727294,65,70,0.7436549072265625
11.10.2018,12.10.2018,CALL,148.0,FB181012C00148000,4.9,6.25,6.55,0.13999987,2.9411736,285,64,0.6733431103515627
11.10.2018,12.10.2018,CALL,149.0,FB181012C00149000,3.8,5.45,5.75,-0.29999995,-7.317072,835,200,0.6552768847656252
11.10.2018,12.10.2018,CALL,150.0,FB181012C00150000,4.2,4.2,4.45,0.90999985,27.65957,2744,2903,0.5063525927734375
11.10.2018,12.10.2018,CALL,152.5,FB181012C00152500,2.28,2.29,2.39,0.53,30.285713,14075,1421,0.428716650390625
