Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
29.11.2018,30.11.2018,CALL,182.5,BABA181130C00182500,0.1,0.0,0.01,0.0,0.0,1,139,0.7187528125
29.11.2018,30.11.2018,PUT,90.0,BABA181130P00090000,0.07,0.0,0.01,0.0,0.0,4,83,2.3750040624999995
29.11.2018,30.11.2018,PUT,95.0,BABA181130P00095000,0.02,0.0,0.01,0.0,0.0,11,62,2.1250046874999997
29.11.2018,30.11.2018,PUT,100.0,BABA181130P00100000,0.05,0.0,0.01,0.0,0.0,1,89,1.9375003125
29.11.2018,30.11.2018,PUT,105.0,BABA181130P00105000,0.1,0.0,0.01,0.0,0.0,500,540,1.75000125
29.11.2018,30.11.2018,PUT,110.0,BABA181130P00110000,0.04,0.0,0.01,0.0,0.0,298,1266,1.5625021874999998
29.11.2018,30.11.2018,PUT,115.0,BABA181130P00115000,0.05,0.0,0.01,0.0,0.0,53,509,1.3750031249999999
29.11.2018,30.11.2018,PUT,119.0,BABA181130P00119000,0.19,0.0,0.01,0.0,0.0,20,17,1.21875390625
29.11.2018,30.11.2018,PUT,120.0,BABA181130P00120000,0.01,0.0,0.01,-0.01,-50.0,100,625,1.1875040625
29.11.2018,30.11.2018,PUT,121.0,BABA181130P00121000,0.08,0.0,0.01,0.0,0.0,10,10,1.15625421875
29.11.2018,30.11.2018,PUT,123.0,BABA181130P00123000,0.02,0.0,0.01,0.0,0.0,2,80,1.09375453125
29.11.2018,30.11.2018,PUT,124.0,BABA181130P00124000,0.19,0.0,0.01,0.0,0.0,320,320,1.0625046875000002
29.11.2018,30.11.2018,PUT,125.0,BABA181130P00125000,0.02,0.0,0.01,0.0,0.0,5,2443,1.0312548437500002
29.11.2018,30.11.2018,PUT,126.0,BABA181130P00126000,0.12,0.0,0.01,0.0,0.0,16,129,0.98437515625
29.11.2018,30.11.2018,PUT,127.0,BABA181130P00127000,0.02,0.0,0.01,0.01,100.0,5,151,0.937500625
29.11.2018,30.11.2018,PUT,128.0,BABA181130P00128000,0.15,0.0,0.01,0.0,0.0,3,140,0.9062509375
29.11.2018,30.11.2018,PUT,129.0,BABA181130P00129000,0.05,0.0,0.01,0.0,0.0,11,113,0.87500125
29.11.2018,30.11.2018,PUT,130.0,BABA181130P00130000,0.01,0.0,0.01,0.0,0.0,6,642,0.8437515624999999
29.11.2018,30.11.2018,PUT,131.0,BABA181130P00131000,0.01,0.0,0.02,0.0,0.0,21,80,0.87500125
29.11.2018,30.11.2018,PUT,132.0,BABA181130P00132000,0.01,0.0,0.02,0.0,0.0,10,113,0.8437515624999999
29.11.2018,30.11.2018,PUT,133.0,BABA181130P00133000,0.01,0.0,0.03,0.0,0.0,1,688,0.8437515624999999
29.11.2018,30.11.2018,PUT,134.0,BABA181130P00134000,0.01,0.0,0.02,0.0,0.0,2,204,0.7812521875
29.11.2018,30.11.2018,PUT,135.0,BABA181130P00135000,0.01,0.0,0.01,0.0,0.0,11,3079,0.6875031250000001
29.11.2018,30.11.2018,PUT,136.0,BABA181130P00136000,0.02,0.0,0.03,0.0,0.0,14,258,0.73437765625
29.11.2018,30.11.2018,PUT,137.0,BABA181130P00137000,0.01,0.0,0.02,0.0,0.0,3,230,0.6718782812500002
29.11.2018,30.11.2018,PUT,138.0,BABA181130P00138000,0.01,0.0,0.01,-0.01,-50.0,1,549,0.5937540625000001
