Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
29.11.2018,30.11.2018,CALL,67.5,XOM181130C00067500,9.3,11.55,11.75,0.0,0.0,26,26,1.16016044921875
29.11.2018,30.11.2018,CALL,68.0,XOM181130C00068000,10.15,11.0,11.1,0.0,0.0,9,10,0.9531254687499999
29.11.2018,30.11.2018,CALL,69.5,XOM181130C00069500,7.15,9.5,9.6,0.0,0.0,20,20,0.8281267187499999
29.11.2018,30.11.2018,CALL,70.0,XOM181130C00070000,8.1,9.0,9.15,0.0,0.0,39,221,0.6250037500000001
29.11.2018,30.11.2018,CALL,70.5,XOM181130C00070500,6.6,8.6,8.75,0.0,0.0,4,3,0.9355475195312499
29.11.2018,30.11.2018,CALL,71.0,XOM181130C00071000,7.05,8.0,8.15,0.0,0.0,2,7,0.5625043750000001
29.11.2018,30.11.2018,CALL,74.5,XOM181130C00074500,3.9,4.5,4.6,0.4000001,11.428575,9,253,0.42969320312500003
29.11.2018,30.11.2018,CALL,78.0,XOM181130C00078000,1.28,1.13,1.17,0.5,64.10257,551,2397,0.1914143359375
29.11.2018,30.11.2018,CALL,90.0,XOM181130C00090000,0.01,0.0,0.13,0.0,0.0,1,1,0.92187578125
29.11.2018,30.11.2018,PUT,65.0,XOM181130P00065000,0.04,0.0,0.02,0.0,0.0,4,45,1.0468797656250002
29.11.2018,30.11.2018,PUT,67.0,XOM181130P00067000,0.02,0.0,0.12,0.0,0.0,2,2,1.1484417578125
29.11.2018,30.11.2018,PUT,68.5,XOM181130P00068500,0.05,0.0,0.12,0.0,0.0,1,1,1.015629921875
29.11.2018,30.11.2018,PUT,69.0,XOM181130P00069000,0.01,0.0,0.12,0.0,0.0,20,44,0.9726565234375
29.11.2018,30.11.2018,PUT,70.0,XOM181130P00070000,0.01,0.0,0.02,0.0,0.0,3,45,0.6875031250000001
29.11.2018,30.11.2018,PUT,70.5,XOM181130P00070500,0.1,0.0,0.02,0.0,0.0,13,23,0.64062859375
29.11.2018,30.11.2018,PUT,71.0,XOM181130P00071000,0.01,0.0,0.04,0.0,0.0,16,55,0.6718782812500002
29.11.2018,30.11.2018,PUT,71.5,XOM181130P00071500,0.02,0.0,0.05,0.0,0.0,2,2,0.6562534375000001
29.11.2018,30.11.2018,PUT,72.0,XOM181130P00072000,0.01,0.0,0.02,0.0,0.0,15,196,0.5468795312500001
29.11.2018,30.11.2018,PUT,72.5,XOM181130P00072500,0.02,0.0,0.03,0.0,0.0,6,225,0.5312546875
29.11.2018,30.11.2018,PUT,73.0,XOM181130P00073000,0.01,0.01,0.03,0.0,0.0,12,226,0.51562984375
29.11.2018,30.11.2018,PUT,73.5,XOM181130P00073500,0.01,0.0,0.03,0.0,0.0,15,375,0.5117236328125
29.11.2018,30.11.2018,PUT,74.0,XOM181130P00074000,0.03,0.0,0.03,0.01,50.0,3,1026,0.4726615234375
29.11.2018,30.11.2018,PUT,74.5,XOM181130P00074500,0.01,0.01,0.03,-0.02,-66.66667,1,828,0.42969320312500003
29.11.2018,30.11.2018,PUT,75.0,XOM181130P00075000,0.01,0.0,0.02,-0.02,-66.66667,36,711,0.367193828125
29.11.2018,30.11.2018,PUT,76.0,XOM181130P00076000,0.02,0.01,0.03,-0.030000001,-60.000004,55,604,0.3086006640625
29.11.2018,30.11.2018,PUT,76.5,XOM181130P00076500,0.02,0.0,0.03,-0.06,-75.0,64,1304,0.26563234375
29.11.2018,30.11.2018,PUT,77.0,XOM181130P00077000,0.03,0.0,0.03,-0.120000005,-80.0,185,1394,0.22266402343749997
29.11.2018,30.11.2018,PUT,77.5,XOM181130P00077500,0.04,0.03,0.05,-0.19,-82.608696,291,335,0.20313296874999998
29.11.2018,30.11.2018,PUT,78.0,XOM181130P00078000,0.07,0.07,0.09,-0.28,-80.0,585,337,0.18457846679687498
29.11.2018,30.11.2018,PUT,78.5,XOM181130P00078500,0.13,0.17,0.18,-0.68,-83.95062,473,334,0.17285983398437502
29.11.2018,30.11.2018,PUT,79.0,XOM181130P00079000,0.35,0.33,0.35,-0.53999996,-60.674156,163,350,0.1645591357421875
29.11.2018,30.11.2018,PUT,79.5,XOM181130P00079500,0.64,0.62,0.64,-1.0500001,-62.130177,55,162,0.16602396484375004
29.11.2018,30.11.2018,PUT,80.0,XOM181130P00080000,0.75,1.01,1.05,-1.3699999,-64.62264,99,258,0.18555501953124998
29.11.2018,30.11.2018,PUT,80.5,XOM181130P00080500,1.43,1.45,1.49,-1.11,-43.700787,35,133,0.195320546875
29.11.2018,30.11.2018,PUT,81.0,XOM181130P00081000,2.48,1.91,1.95,-0.47000003,-15.932204,34,227,0.1914143359375
29.11.2018,30.11.2018,PUT,81.5,XOM181130P00081500,2.38,2.32,2.37,-1.2199998,-33.888885,38,79,1.0000000000000003e-05
29.11.2018,30.11.2018,PUT,82.0,XOM181130P00082000,2.76,2.9,2.95,-1.2500002,-31.172073,8,9,0.26563234375
29.11.2018,30.11.2018,PUT,82.5,XOM181130P00082500,3.45,3.35,3.5,-1.2,-25.80645,100,32,0.38672488281249995
29.11.2018,30.11.2018,PUT,83.0,XOM181130P00083000,4.65,3.85,4.0,0.0,0.0,11,9,0.42774009765625004
29.11.2018,30.11.2018,PUT,83.5,XOM181130P00083500,4.65,4.35,4.5,-1.4000001,-23.140495,1,25,0.4687553125
29.11.2018,30.11.2018,PUT,84.0,XOM181130P00084000,6.6,4.9,4.95,0.0,0.0,4,0,0.4062559375
29.11.2018,30.11.2018,PUT,84.5,XOM181130P00084500,5.9,5.35,5.5,-1.1500001,-16.312057,5,4,0.5468795312500001
29.11.2018,30.11.2018,PUT,85.0,XOM181130P00085000,7.0,5.9,6.0,0.0,0.0,1,31,0.585941640625
29.11.2018,30.11.2018,PUT,86.0,XOM181130P00086000,7.83,6.85,7.0,0.0,0.0,1,0,0.6601596484375001
29.11.2018,30.11.2018,PUT,86.5,XOM181130P00086500,8.6,7.35,7.5,0.0,0.0,6,0,0.6953155468750001
29.11.2018,30.11.2018,PUT,91.5,XOM181130P00091500,13.6,12.35,12.45,0.0,0.0,8,0,0.85937640625
