Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
22.11.2018,23.11.2018,CALL,105.0,FB181123C00105000,38.45,29.45,30.0,0.0,0.0,1,1,1.7890635546875
22.11.2018,23.11.2018,CALL,110.0,FB181123C00110000,32.4,24.5,25.0,0.0,0.0,1,4,1.50390873046875
22.11.2018,23.11.2018,CALL,115.0,FB181123C00115000,17.2,19.55,19.95,0.0,0.0,4,64,1.154301103515625
22.11.2018,23.11.2018,CALL,117.0,FB181123C00117000,18.65,17.55,18.0,0.0,0.0,2,0,1.11328568359375
22.11.2018,23.11.2018,CALL,119.0,FB181123C00119000,17.13,15.5,16.0,0.0,0.0,10,5,1.0039112304687499
22.11.2018,23.11.2018,CALL,120.0,FB181123C00120000,14.95,14.55,15.0,3.4499998,29.999998,36,130,0.94726615234375
22.11.2018,23.11.2018,CALL,121.0,FB181123C00121000,14.6,13.55,14.0,-4.3999996,-54.32098,1,2,0.89257919921875
22.11.2018,23.11.2018,CALL,122.0,FB181123C00122000,14.24,12.5,13.0,0.0,0.0,10,0,0.8378922460937499
22.11.2018,23.11.2018,CALL,123.0,FB181123C00123000,12.6,11.5,12.0,0.0,0.0,1,75,0.7832052929687501
22.11.2018,23.11.2018,CALL,124.0,FB181123C00124000,12.05,10.55,11.0,-2.0,-28.57143,4,26,0.726565234375
22.11.2018,23.11.2018,CALL,125.0,FB181123C00125000,11.1,9.6,10.0,3.7400002,50.81522,11,325,0.6718782812500002
22.11.2018,23.11.2018,CALL,126.0,FB181123C00126000,10.01,8.6,9.0,-0.8500004,-14.912288,5,119,0.6152382226562501
22.11.2018,23.11.2018,CALL,127.0,FB181123C00127000,9.7,7.55,8.0,3.9499998,68.69565,45,316,0.5585981640625001
22.11.2018,23.11.2018,CALL,128.0,FB181123C00128000,8.3,6.6,7.0,0.0,0.0,60,556,0.5019581054687501
22.11.2018,23.11.2018,CALL,129.0,FB181123C00129000,6.0,5.6,6.05,1.5500002,34.831467,77,326,0.47363807617187503
