Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
22.11.2018,23.11.2018,PUT,85.0,MSFT181123P00085000,0.01,0.0,0.02,0.0,0.0,83,99,1.000005
22.11.2018,23.11.2018,PUT,85.5,MSFT181123P00085500,0.01,0.0,0.02,0.0,0.0,84,89,0.9687503125
22.11.2018,23.11.2018,PUT,86.0,MSFT181123P00086000,0.1,0.0,0.01,0.0,0.0,10,12,0.87500125
22.11.2018,23.11.2018,PUT,87.0,MSFT181123P00087000,0.01,0.0,0.02,0.0,0.0,8,32,0.8906260937499999
22.11.2018,23.11.2018,PUT,88.0,MSFT181123P00088000,0.01,0.0,0.02,0.0,0.0,150,258,0.8437515624999999
22.11.2018,23.11.2018,PUT,88.5,MSFT181123P00088500,0.01,0.0,0.02,0.0,0.0,84,149,0.8125018749999999
22.11.2018,23.11.2018,PUT,89.0,MSFT181123P00089000,0.05,0.0,0.02,0.0,0.0,13,39,0.7812521875
22.11.2018,23.11.2018,PUT,89.5,MSFT181123P00089500,0.01,0.0,0.01,-0.01,-50.0,4,323,0.70312796875
22.11.2018,23.11.2018,PUT,91.0,MSFT181123P00091000,0.01,0.0,0.02,-0.04,-79.99999,2,36,0.6718782812500002
22.11.2018,23.11.2018,PUT,91.5,MSFT181123P00091500,0.05,0.0,0.02,0.0,0.0,16,41,0.6562534375000001
22.11.2018,23.11.2018,PUT,92.0,MSFT181123P00092000,0.01,0.0,0.01,-0.03,-75.0,12,123,0.57812921875
22.11.2018,23.11.2018,PUT,92.5,MSFT181123P00092500,0.11,0.0,0.03,0.0,0.0,23,61,0.6250037500000001
22.11.2018,23.11.2018,PUT,93.0,MSFT181123P00093000,0.01,0.0,0.02,-0.04,-79.99999,18,90,0.570316796875
22.11.2018,23.11.2018,PUT,94.0,MSFT181123P00094000,0.01,0.0,0.02,-0.060000002,-85.71429,682,148,0.51562984375
22.11.2018,23.11.2018,PUT,94.5,MSFT181123P00094500,0.01,0.0,0.02,-0.080000006,-88.88889,678,159,0.5390671093750001
22.11.2018,23.11.2018,PUT,95.0,MSFT181123P00095000,0.01,0.0,0.01,-0.1,-90.909096,411,567,0.4687553125
22.11.2018,23.11.2018,PUT,96.0,MSFT181123P00096000,0.12,0.0,0.03,0.0,0.0,139,181,0.48438015625
22.11.2018,23.11.2018,PUT,96.5,MSFT181123P00096500,0.02,0.0,0.03,-0.23,-92.0,1,234,0.45313046875
22.11.2018,23.11.2018,PUT,125.0,MSFT181123P00125000,18.2,20.4,24.0,0.0,0.0,8,0,1.6171894140625
22.11.2018,23.11.2018,PUT,129.0,MSFT181123P00129000,27.25,25.8,26.1,0.0,0.0,5,3,1.3828155859374998
